Date,Eaagads Ltd Ord 1.25 AIMS,Kakuzi Ord.5.00,Limuru Tea Co. Ltd Ord 20.00,Sasini Ltd Ord 1.00,Williamson Tea Kenya Ltd Ord 5.00,Car and General (K) Ltd Ord 5.00,Absa Bank Kenya PLC,BK Group PLC,Diamond Trust Bank Kenya Ltd Ord 4.00,Equity Group Holdings Ord 0.50,HF Group Ltd Ord 5.00,I&M Holdings Ltd Ord 1.00,KCB Group Ltd Ord 1.00,National Bank of Kenya Ltd Ord 5.00,NCBA Group PLC, Stanbic Holdings Plc. ord.5.00,Standard Chartered Bank Ltd Ord 5.00,The Co-operative Bank of Kenya Ltd Ord 1.00,Express Ltd Ord 5.00,Kenya Airways Ltd Ord 5.00,Longhorn Publishers Ltd, Nairobi Business Ventures Ltd,Nation Media Group Ord. 2.50,Sameer Africa PLC Ord 5.00,Scangroup  Ltd Ord 1.00,Standard Group  Ltd Ord 5.00,TPS Eastern Africa (Serena) Ltd Ord 1.00 ,Uchumi Supermarket Ltd Ord 5.00,Athi River Mining Ord 5.00,Bamburi Cement Ltd Ord 5.00,Crown Paints Kenya PLC. 0rd 5.00,E.A.Cables Ltd Ord 0.50,E.A.Portland Cement Ltd Ord 5.00,KenGen Ltd  Ord. 2.50, Kenya Power & Lighting  Co Ltd,Total Kenya Ltd Ord 5.00,Umeme Ltd Ord 0.50,Britam Holdings Ltd Ord 0.10,CIC Insurance Group Ltd Ord 1.00,Jubilee Holdings Ltd Ord 5.00,Kenya Re-Insurance Corporation Ltd Ord 2.50,Liberty Kenya Holdings Ltd,Sanlam Kenya PLC 0rd 5.00,Centum Investment Co Ltd Ord 0.50, Home Afrika Ltd Ord 1.00,Kurwitu Ventures,Olympia Capital Holdings ltd Ord 5.00,Trans-Century Ltd,Nairobi Securities Exchange Ltd Ord 4.00,B.O.C Kenya Ltd Ord 5.00,British American Tobacco Kenya Ltd Ord 10.00,Carbacid Investments Ltd Ord 5.00,East African Breweries Ltd Ord 2.00,Eveready East Africa Ltd Ord.1.00,Flame Tree Group Holdings Ltd Ord 0.825,Kenya Orchards Ltd Ord 5.00,Mumias Sugar Co. Ltd Ord 2.00,Unga Group Ltd Ord 5.00,Safaricom PLC Ord 0.05,Stanlib Fahari I-REIT
" Thursday, 13 May 2021",15.00,360.00,340.00,18.80,146.75,20.50,8.80,26.00,65.00,40.95,4.00,24.30,41.95,4.12,24.65,83.00,132.00,12.45,4.05,3.83,4.48,4.90,15.05,3.59,5.56,18.00,15.60,0.23,5.55,39.25,39.20,1.30,8.00,4.12,1.40,24.00,6.02,7.00,2.20,280.00,2.39,7.98,11.35,15.45,0.42,"1,500.00",2.03,1.18,9.00,64.50,471.00,10.90,172.25,1.09,1.41,10.40,0.27,31.80,39.40,6.10
" Friday, 21 May 2021",15.00,360.00,340.00,18.55,145.00,22.00,9.10,26.00,63.75,41.50,3.62,23.35,41.00,4.12,24.85,81.00,131.50,12.25,4.05,3.83,4.48,5.34,16.65,3.60,5.50,18.10,15.00,0.26,5.55,36.70,39.00,1.35,8.00,4.01,1.39,24.00,6.00,7.26,2.13,280.00,2.36,7.40,11.30,14.90,0.40,"1,500.00",2.00,1.23,8.98,68.25,470.00,10.40,174.00,1.04,1.35,10.40,0.27,28.00,39.50,5.98
" Tuesday, 25 May 2021",15.00,360.00,340.00,18.40,145.00,24.20,9.22,26.00,63.25,42.05,4.00,22.65,42.25,4.12,25.05,82.75,131.75,12.20,4.05,3.83,4.08,5.20,16.85,3.59,5.44,16.65,14.60,0.24,5.55,36.05,40.00,1.18,8.00,3.98,1.38,23.95,5.92,7.10,2.16,278.00,2.32,7.32,11.00,14.85,0.38,"1,500.00",2.00,1.19,8.50,68.50,464.75,10.15,181.00,0.99,1.40,10.40,0.27,28.00,42.75,5.96
" Monday, 19 July 2021",11.00,372.75,290.00,19.20,152.25,31.00,10.00,28.00,69.00,48.55,3.73,21.50,44.75,4.12,25.65,82.75,129.75,13.45,4.40,3.83,3.98,11.05,24.95,3.07,4.94,18.75,15.00,0.26,5.55,38.50,19.80,1.33,7.20,4.36,1.40,24.60,5.82,7.50,2.52,353.75,2.52,8.56,11.30,17.30,0.43,"1,500.00",1.91,1.15,8.82,63.50,445.00,12.00,187.75,1.04,1.32,10.40,0.27,27.10,42.60,6.66
" Tuesday, 27 July 2021",11.50,410.00,280.00,19.95,134.00,35.20,9.74,29.00,66.25,48.50,3.91,22.90,45.00,4.12,26.40,89.75,129.50,13.45,4.03,3.83,3.98,8.36,25.00,3.74,4.51,17.50,14.10,0.25,5.55,38.40,21.90,1.33,8.78,4.46,1.40,24.65,6.48,7.98,2.67,370.50,2.55,9.54,10.65,16.15,0.40,"1,500.00",1.97,1.39,8.72,64.50,469.50,12.05,184.00,1.01,1.33,10.40,0.27,29.00,41.80,6.94
" Tuesday, 03 August 2021",11.80,415.00,304.75,19.95,134.50,35.00,9.82,29.50,65.00,49.00,3.74,22.75,45.95,4.12,26.65,88.50,130.00,13.55,4.14,3.83,3.99,7.32,25.00,3.50,4.55,19.00,13.80,0.25,5.55,37.50,24.95,1.34,8.42,4.24,1.38,24.05,6.46,8.02,3.03,370.00,2.57,8.24,11.60,15.85,0.40,"1,500.00",2.19,1.37,8.94,62.00,450.00,12.00,180.00,0.98,1.31,10.40,0.27,28.30,41.05,6.94
" Wednesday, 04 August 2021",12.00,415.00,320.00,19.95,135.00,35.00,9.76,29.75,64.00,49.10,3.66,22.70,46.20,4.12,26.25,90.00,132.00,13.45,4.14,3.83,4.00,7.16,25.75,3.37,4.50,19.00,14.30,0.25,5.55,38.50,24.95,1.41,8.42,4.19,1.40,24.10,6.40,8.02,3.05,370.00,2.60,8.24,11.60,15.65,0.41,"1,500.00",2.19,1.35,8.62,62.00,455.00,12.00,179.75,0.98,1.30,10.40,0.27,31.00,41.10,6.92
" Thursday, 05 August 2021",12.30,415.00,320.00,20.00,134.50,35.00,9.82,31.85,65.00,49.40,3.71,22.30,46.45,4.12,26.20,90.00,130.00,13.55,4.14,3.83,4.00,6.90,26.10,3.15,4.50,19.00,14.55,0.26,5.55,38.30,25.00,1.44,8.42,4.20,1.38,24.30,6.40,7.94,3.07,370.00,2.68,8.24,11.00,15.65,0.40,"1,500.00",2.18,1.28,8.52,64.50,450.00,12.20,178.50,0.98,1.31,10.40,0.27,31.00,41.25,6.80
" Friday, 06 August 2021",12.15,415.00,300.00,20.00,134.50,35.00,9.80,32.40,65.75,50.00,3.75,22.55,46.75,4.12,26.20,92.50,131.00,13.65,4.50,3.83,4.00,6.96,24.75,3.15,4.46,18.55,13.80,0.27,5.55,38.00,25.95,1.44,9.00,4.21,1.40,24.75,6.40,7.90,3.10,370.00,2.58,9.06,10.80,15.55,0.41,"1,500.00",2.18,1.31,8.48,64.25,454.00,12.25,179.00,0.98,1.32,10.40,0.27,31.00,42.10,6.98
" Monday, 09 August 2021",12.15,415.00,300.00,19.50,134.50,35.00,9.80,32.40,65.75,50.25,3.70,22.50,46.60,4.12,25.85,86.50,131.50,13.65,4.50,3.83,4.00,6.48,24.95,3.37,4.62,20.00,14.00,0.25,5.55,38.00,25.60,1.43,9.00,4.15,1.38,24.95,6.40,7.90,3.18,361.50,2.58,9.28,10.65,15.75,0.41,"1,500.00",2.20,1.36,9.10,68.00,445.50,12.25,179.25,0.96,1.32,10.40,0.27,31.00,42.95,6.78
